,station_ID,Date,Time,Day,Month,Year,TC,TdC,Hr,ddd,ffkmh,Precmm,Prechrs,Nt,Nh,HKm,Viskm
42,63680,12/11/2021 06:00,06:00:00,12,11,2021,22,18.9,82,CAL,0,0.0/24h,24h,4,4,0.3,5
43,63680,11/11/2021 06:00,06:00:00,11,11,2021,22,18.9,82,CAL,0,0.0/24h,24h,4,4,0.3,5
44,63680,10/11/2021 09:00,09:00:00,10,11,2021,28.2,18.9,51,E,7.4,0.0/3h,3h,2,2,0.6,10
45,63680,10/11/2021 06:00,06:00:00,10,11,2021,23.4,18.9,72,ENE,14.4,0.3/24h,24h,4,2,0.6,8
46,63680,09/11/2021 12:00,12:00:00,9,11,2021,27.5,18.9,55,CAL,0,0.0/6h,6h,6,6,0.6,9
47,63680,09/11/2021 09:00,09:00:00,9,11,2021,27.5,18.9,51,S,3.7,0.0/3h,3h,2,2,0.6,9
48,63680,09/11/2021 06:00,06:00:00,9,11,2021,22.5,18.9,80,CAL,0,0.1/24h,24h,4,2,0.6,8
49,63680,07/11/2021 09:00,09:00:00,7,11,2021,27,18.9,56,CAL,0,0.0/3h,3h,4,4,0.6,10
50,63680,07/11/2021 06:00,06:00:00,7,11,2021,21.5,18.9,79,CAL,0,0.1/24h,24h,5,2,0.3,8
51,63680,06/11/2021 06:00,06:00:00,6,11,2021,20.5,18.9,91,CAL,0,0.0/24h,24h,7,4,0.3,4
52,63680,05/11/2021 12:00,12:00:00,5,11,2021,24.5,18.9,66,S,3.7,0.0/6h,6h,7,4,0.6,10
53,63680,05/11/2021 09:00,09:00:00,5,11,2021,23,18.9,73,E,5.6,0.0/3h,3h,7,4,0.3,8
54,63680,05/11/2021 06:00,06:00:00,5,11,2021,19,18.9,95,CAL,0,66.0/24h,24h,7,5,0.3,6
55,63680,01/11/2021 12:00,12:00:00,1,11,2021,24.8,18.9,65,CAL,0,0.0/6h,6h,5,5,0.6,10
56,63680,01/11/2021 06:00,06:00:00,1,11,2021,22.8,18.9,81,CAL,0,0.0/24h,24h,7,4,0.3,5
212,63680,31/10/2021 12:00,12:00:00,31,10,2021,29,18.9,46,ENE,11.1,0.0/6h,6h,4,4,0.6,10
312,63680,31/10/2021 09:00,09:00:00,31,10,2021,27.2,18.9,53,NNW,7.4,0.0/3h,3h,4,4,0.6,10
411,63680,31/10/2021 06:00,06:00:00,31,10,2021,21.4,18.9,84,CAL,0,0.0/24h,24h,7,4,0.3,7
58,63680,30/10/2021 12:00,12:00:00,30,10,2021,28,18.9,53,NNW,11.1,0.0/6h,6h,4,4,0.6,10
62,63680,30/10/2021 09:00,09:00:00,30,10,2021,26.2,18.9,57,NNE,7.4,0.0/3h,3h,5,4,0.6,10
72,63680,30/10/2021 06:00,06:00:00,30,10,2021,22.5,18.9,80,NW,7.4,0.1/24h,24h,2,2,0.3,5
82,63680,29/10/2021 12:00,12:00:00,29,10,2021,26,18.9,63,S,7.4,0.1/6h,6h,5,5,0.6,10
92,63680,29/10/2021 09:00,09:00:00,29,10,2021,27,18.9,53,W,3.7,0.0/3h,3h,5,5,0.6,10
102,63680,28/10/2021 12:00,12:00:00,28,10,2021,26.5,18.9,55,NE,3.7,0.0/6h,6h,4,4,0.6,10
112,63680,28/10/2021 09:00,09:00:00,28,10,2021,22,18.9,80,CAL,0,1.0/3h,3h,7,4,0.3,8
122,63680,28/10/2021 06:00,06:00:00,28,10,2021,20,18.9,91,CAL,0,12.0/24h,24h,7,4,0.3,7
132,63680,27/10/2021 12:00,12:00:00,27,10,2021,26,18.9,58,CAL,0,0.0/6h,6h,6,6,0.6,10
142,63680,27/10/2021 06:00,06:00:00,27,10,2021,22.5,18.9,77,CAL,0,0.0/24h,24h,2,2,0.6,5
152,63680,26/10/2021 12:00,12:00:00,26,10,2021,28.2,18.9,52,S,3.7,0.0/6h,6h,4,4,0.6,10
162,63680,26/10/2021 09:00,09:00:00,26,10,2021,26.5,18.9,55,SSE,3.7,0.0/3h,3h,6,2,0.6,10
172,63680,25/10/2021 12:00,12:00:00,25,10,2021,26,18.9,63,S,7.4,0.0/6h,6h,6,4,0.6,10
182,63680,23/10/2021 09:00,09:00:00,23,10,2021,27.5,18.9,61,NE,5.6,0.0/3h,3h,4,4,0.6,9
192,63680,23/10/2021 06:00,06:00:00,23,10,2021,21.5,18.9,86,WNW,7.4,0.9/24h,24h,2,2,0.3,5
202,63680,22/10/2021 12:00,12:00:00,22,10,2021,23.5,18.9,74,CAL,0,0.9/6h,6h,7,5,0.6,8
213,63680,22/10/2021 09:00,09:00:00,22,10,2021,25,18.9,69,CAL,0,0.0/3h,3h,4,4,0.6,7
222,63680,22/10/2021 06:00,06:00:00,22,10,2021,21.2,18.9,89,CAL,0,39.0/24h,24h,6,4,0.3,5
232,63680,19/10/2021 12:00,12:00:00,19,10,2021,26,18.9,62,SSE,7.4,0.0/6h,6h,4,4,0.6,10
242,63680,19/10/2021 09:00,09:00:00,19,10,2021,23.5,18.9,71,CAL,0,0.0/3h,3h,7,4,0.6,9
